,zipcode,cost
0,10025,1431000
1,60657,385100
2,10023,2142300
3,60614,412200
4,79936,83700
5,60640,255100
6,94109,1245200
7,77494,231400
8,32162,198000
9,60647,331100
10,37211,170200
11,37013,145900
12,60618,273300
13,10128,1787100
14,10011,2480400
15,28269,119900
16,77573,140900
17,30349,76700
18,90046,1018500
19,77584,157400
20,10003,2147000
21,60613,283500
22,78660,160500
23,75052,130600
24,20009,646900
25,20002,547100
26,21234,150700
27,63376,124000
28,30044,129600
29,60629,136700
30,60625,192600
31,11201,1420700
32,37042,73100
33,77429,140800
34,78130,176100
35,78521,56900
36,30043,156100
37,23464,148300
38,94501,779800
39,7030,753800
40,60619,113100
41,73099,98300
42,94110,1288900
43,28277,181100
44,90034,916600
45,33160,351500
46,33139,675800
47,44107,126100
48,77379,118600
49,90044,377600
50,33411,127100
51,11234,476900
52,90650,407800
53,90805,396800
54,75067,225900
55,60617,92700
56,44035,69900
57,23462,151000
58,78704,407800
59,92683,470200
60,8701,109000
61,85710,116500
62,66062,207700
63,78745,233700
64,95630,339400
65,91910,365000
66,90026,818800
67,10314,357300
68,87111,184800
69,94558,482700
70,11215,1070800
71,98052,447400
72,30024,210700
73,32210,88600
74,6010,127500
75,33025,156300
76,60610,424900
77,30281,73400
78,89108,110200
79,78240,130700
80,85225,140100
81,77433,138800
82,2169,322300
83,33009,224800
84,15601,100000
85,93722,156600
86,48180,60100
87,17603,126800
88,95608,278500
89,94533,251400
90,60611,527100
91,14850,181700
92,87114,153100
93,33024,205800
94,80013,278200
95,20906,178300
96,37075,128200
97,90066,957800
98,85281,208800
99,44060,99600
100,43081,132700
101,28027,99400
102,85364,95200
103,8753,148500
104,92677,514800
105,65807,82300
106,60620,118800
107,75034,298600
108,10028,2083900
109,60634,192200
110,95823,183400
111,92804,368000
112,27410,107000
113,6902,282200
114,43123,118600
115,20011,443100
116,60016,130500
117,92109,664200
118,45011,70100
119,60628,93900
120,90019,868200
121,91911,333400
122,44256,135900
123,76028,154000
124,33908,172600
125,2148,341100
126,89121,115500
127,33647,116100
128,92345,181500
129,43130,95000
130,28314,52500
131,40475,117700
132,92503,295000
133,65203,86000
134,7002,299300
135,19111,183800
136,92126,347900
137,27406,63000
138,91730,321200
139,90201,434200
140,97229,339500
141,29732,89900
142,27610,110000
143,98103,655500
144,21740,113600
145,77095,136900
146,32822,82900
147,22191,262500
148,90280,394000
149,60626,146100
150,92592,308500
151,87120,138500
152,98012,333300
153,90004,886600
154,92336,289500
155,30062,145600
156,46307,144800
157,33012,135900
158,80134,291300
159,23454,165300
160,46227,91500
161,74012,93900
162,21117,157900
163,90706,431900
164,60649,90300
165,7093,370900
166,99301,125900
167,32244,71100
168,48103,286200
169,33186,205000
170,92021,355400
171,85705,106700
172,20019,260400
173,76063,113800
174,43230,133700
175,23320,147700
176,93065,404400
177,45840,106000
178,48185,117600
179,75217,68000
180,44130,101600
181,92101,649400
182,22304,253800
183,91342,399600
184,20878,300900
185,30080,143200
186,92627,634200
187,33311,130200
188,30188,157800
189,10021,1815600
190,2155,454500
191,37130,132900
192,90011,360600
193,87121,119300
194,43701,77500
195,32256,116000
196,33027,122600
197,23666,130300
198,19124,78400
199,90025,824200
200,30022,192800
201,58103,140100
202,33064,147500
203,34135,217900
204,30040,154500
205,32218,86300
206,33063,100100
207,44077,98400
208,43026,107200
209,23452,132400
210,30052,148800
211,10701,369200
212,90731,483800
213,27587,141900
214,33313,65800
215,80634,210200
216,34711,179800
217,91335,441100
218,71913,99100
219,38401,90100
220,97402,186600
